State,FirstSlope,SecondSlope,ThirdSlope,FourthSlope
AK,1.732142857142857,15.571428571428596,-12.357142857142847,-6.071428571428551
AL,-105.88571428571424,-57.642857142857196,12.357142857142902,15.49999999999994
AR,-54.942857142857164,-82.92857142857152,72.32142857142863,-68.99999999999989
AZ,-198.03571428571416,-99.82142857142861,14.928571428571573,-32.96428571428544
CA,-577.6035714285713,-326.4642857142863,-145.10714285714283,-88.4642857142858
CO,-3.689285714285694,-37.10714285714293,15.428571428571491,-1.0357142857143131
CT,-36.60357142857138,-16.535714285714327,36.60714285714289,-39.92857142857151
DC,-5.839285714285708,-3.142857142857147,2.8571428571428608,-0.49999999999999756
DE,-7.9571428571428475,-15.535714285714317,18.607142857142904,-17.357142857142765
FL,-244.54999999999978,-163.2857142857146,-30.142857142856847,-59.75000000000017
GA,-131.17142857142855,-72.21428571428586,15.464285714285785,-108.46428571428558
HI,-2.978571428571431,-2.0714285714285734,1.5714285714285738,-2.3214285714285667
IA,-20.885714285714254,-23.857142857142886,1.5357142857142922,-21.53571428571428
ID,-8.232142857142847,-4.428571428571442,4.1071428571428825,-10.464285714285678
IL,-81.44999999999996,-80.39285714285725,5.928571428571439,-16.75000000000003
IN,-58.76428571428573,-58.500000000000064,-9.60714285714283,-6.464285714285787
KS,-20.72142857142858,5.857142857142886,-45.50000000000003,-9.571428571428585
KY,-63.51785714285714,-48.35714285714293,-16.178571428571367,-24.75000000000001
LA,-92.34642857142848,-85.32142857142867,33.85714285714291,-43.03571428571426
MA,-74.22499999999991,-61.07142857142868,-13.821428571428516,-33.25000000000004
MD,-50.10714285714275,-40.00000000000008,8.42857142857147,-11.178571428571443
ME,-11.624999999999993,-6.46428571428572,5.2142857142857215,-1.178571428571429
MI,-51.31428571428567,-14.535714285714304,39.785714285714334,31.142857142857054
MN,-14.389285714285718,-0.42857142857145303,4.321428571428599,-6.321428571428587
MO,-61.25714285714283,-16.46428571428575,-25.821428571428555,-4.60714285714287
MS,-51.77857142857139,-63.53571428571441,38.67857142857147,-31.78571428571426
MT,-8.246428571428556,-3.96428571428572,-4.071428571428573,-4.678571428571424
NC,-154.75000000000003,-102.14285714285717,-91.60714285714273,-102.07142857142837
ND,-5.8464285714285715,9.392857142857146,-5.178571428571419,1.2142857142857102
NE,-6.292857142857128,-34.178571428571466,3.7857142857142883,1.8928571428571204
NH,-8.892857142857137,-0.35714285714286004,-7.392857142857126,-19.928571428571395
NJ,-79.68214285714276,-65.50000000000017,32.64285714285721,-6.750000000000175
NM,-22.271428571428554,-17.321428571428605,-1.3214285714285496,-11.142857142857139
NV,-35.96428571428569,-37.67857142857148,3.5714285714285667,-7.321428571428587
NY,-172.63214285714238,-187.9285714285717,29.714285714286106,30.499999999999844
OH,-130.7892857142857,-112.85714285714305,-18.857142857142815,-55.35714285714287
OK,-63.092857142857056,-89.14285714285728,-3.4642857142856602,-10.321428571428589
OR,-15.56785714285714,2.749999999999971,-14.642857142857121,-15.321428571428587
PA,-144.51071428571422,-162.82142857142873,21.750000000000085,-54.14285714285709
RI,-21.1642857142857,-11.785714285714304,-11.60714285714285,4.821428571428555
SC,-43.69642857142856,-85.35714285714293,-93.60714285714289,-82.03571428571426
SD,1.3857142857142881,-4.53571428571429,6.71428571428573,-5.714285714285707
TN,-40.47500000000005,-132.5714285714288,56.035714285714384,-36.249999999999986
TX,-792.1214285714286,-1106.5357142857156,615.8571428571435,-222.03571428571408
UT,-30.985714285714263,-26.96428571428577,-24.39285714285713,-28.67857142857144
VA,-74.34642857142843,-156.5714285714287,-50.75000000000003,-51.42857142857148
VT,-1.8535714285714258,-0.2500000000000015,-1.3214285714285703,5.857142857142843
WA,-39.29999999999999,12.71428571428567,-13.178571428571397,-26.96428571428567
WI,-48.63571428571427,-26.85714285714288,-1.0714285714285459,-18.03571428571429
WV,-31.43214285714282,-17.785714285714313,3.1785714285714457,-3.250000000000004
WY,-6.11071428571428,4.642857142857142,-0.7142857142857079,-5.785714285714273
